"conference","session","name","speakers","speaker","content","comment","timestamp"
"uxdxcopenhagen18","a_pragmatists_guide_to_ci_cd_6755846","A Pragmatists Guide to CI/CD","Russell Sim, Test Engineer, Zendesk","3","1","","2018-05-09T16:22:35.813Z"
"uxdxcopenhagen18","a_pragmatists_guide_to_ci_cd_6755846","A Pragmatists Guide to CI/CD","Russell Sim, Test Engineer, Zendesk","5","4","Very informative for a non developer. Good with examples.","2018-05-09T16:38:23.169Z"
"uxdxcopenhagen18","a_pragmatists_guide_to_ci_cd_6755846","A Pragmatists Guide to CI/CD","Russell Sim, Test Engineer, Zendesk","4","4","Straight to the point, a good intro fo those who aren't in the topic of CI/CD.","2018-05-09T16:39:28.120Z"
"uxdxcopenhagen18","a_pragmatists_guide_to_ci_cd_6755846","A Pragmatists Guide to CI/CD","Russell Sim, Test Engineer, Zendesk","4","3","","2018-05-09T16:46:03.888Z"
"uxdxcopenhagen18","a_pragmatists_guide_to_ci_cd_6755846","A Pragmatists Guide to CI/CD","Russell Sim, Test Engineer, Zendesk","5","5","","2018-05-09T16:46:14.836Z"
"uxdxcopenhagen18","a_pragmatists_guide_to_ci_cd_6755846","A Pragmatists Guide to CI/CD","Russell Sim, Test Engineer, Zendesk","4","3","","2018-05-09T16:47:03.828Z"
"uxdxcopenhagen18","a_pragmatists_guide_to_ci_cd_6755846","A Pragmatists Guide to CI/CD","Russell Sim, Test Engineer, Zendesk","5","5","","2018-05-09T16:47:34.040Z"
"uxdxcopenhagen18","a_pragmatists_guide_to_ci_cd_6755846","A Pragmatists Guide to CI/CD","Russell Sim, Test Engineer, Zendesk","4","4","Very insightful! I was very happy as a PM to visually understand what I have heard about on a daily basis without this understanding. Did you already check the 3 amigos methodology to get the best out of the user stories and be sure to translate them right into tests.","2018-05-09T16:48:47.146Z"
"uxdxcopenhagen18","a_pragmatists_guide_to_ci_cd_6755846","A Pragmatists Guide to CI/CD","Russell Sim, Test Engineer, Zendesk","5","4","Well held presentation. Try to Keep your body still","2018-05-09T16:50:37.649Z"
"uxdxcopenhagen18","a_pragmatists_guide_to_ci_cd_6755846","A Pragmatists Guide to CI/CD","Russell Sim, Test Engineer, Zendesk","5","4","By far the best talk of this event. Awesome introduction to CI/CD for people who know little or nothing about it. Personally, I would have loved more details. ","2018-05-09T16:50:38.813Z"
"uxdxcopenhagen18","a_pragmatists_guide_to_ci_cd_6755846","A Pragmatists Guide to CI/CD","Russell Sim, Test Engineer, Zendesk","5","3","Most of the time I had no idea what are you were talking about because it's not my field. However, I appreciate a good structure of its content. I guess, I got the point with the main message and why it's important. Like the way you were presenting(nice energy and your excitement about the topic engaged me). I also like effort you made to communicate to designers. Thanks! All the best!","2018-05-09T16:53:05.987Z"
