track,title,startTime,endTime,description,conference,speaker0,speaker1,speaker2,speaker3
UXDX Berlin,Networking & Canape Reception,2019-03-28T16:00:00Z,2019-03-28T16:35:00.000Z,,uxdxberlin19,,,,
UXDX Berlin,Opening Address,2019-03-28T16:20:00Z,2019-03-28T16:55:00.000Z,,uxdxberlin19,Rory Madden,,,
UXDX Berlin,The Value of Ritual at the Crossroads of Innovation,2019-03-28T16:30:00Z,2019-03-28T17:05:00.000Z,,uxdxberlin19,Scott Weiss,,,
UXDX Berlin,Value Proposition Hypothesis: A Framework for Taking New Products from Uncertainty to Market,2019-03-28T16:55:00Z,2019-03-28T17:30:00.000Z,,uxdxberlin19,Christian Gaillard,,,
UXDX Berlin,Co-creation as a prototyping method,2019-03-28T17:20:00Z,2019-03-28T17:55:00.000Z,,uxdxberlin19,Camila Lombana,,,
UXDX Berlin,Break,2019-03-28T17:45:00Z,2019-03-28T18:20:00.000Z,,uxdxberlin19,,,,
UXDX Berlin,Managing Change,2019-03-28T18:00:00Z,2019-03-28T18:35:00.000Z,,uxdxberlin19,Rory Madden,,,
UXDX Berlin,Integrating UX for Improved Product Development,2019-03-28T18:25:00Z,2019-03-28T19:00:00.000Z,,uxdxberlin19,Koos Looijesteijn,Alex Dapunt,Henning Fritzenwalder,Alessandro Sposato
UXDX Berlin,The Importance of DesignOps in Successful Products ,2019-03-28T18:50:00Z,2019-03-28T19:25:00.000Z,,uxdxberlin19,Nanda Dias,,,
UXDX Berlin,Short Wrap up ,2019-03-28T19:15:00Z,2019-03-28T19:50:00.000Z,,uxdxberlin19,Catherine Madden,,,
UXDX Berlin,Drinks & Networking,2019-03-28T19:25:00Z,2019-03-28T20:00:00.000Z,,uxdxberlin19,,,,
Agenda Dublin,Arrival & Networking,2019-04-23T12:30:00Z,2019-04-23T13:05:00.000Z,,uxdxdublin19,,,,
Agenda Dublin,Opening Address,2019-04-23T12:50:00Z,2019-04-23T13:25:00.000Z,,uxdxdublin19,,,,
